,p_pv,p_el,h_el,p_fc,h_fc,g_fc,h_sto,h_sto_next,g_hw_io,g_hw,g_hw_next,q_cw_io,q_cw,q_cw_next,p_hp,g_hp,q_hp,z_hp_g,z_hp_q,p_eb,g_eb,p_pur,h_pur
0,0.0,0.0,0.0,0.0,0.0,0.0,384.73193546155244,384.73193546155244,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3788.8040022463447,3409.9236020217104,3832.4068496875384,0.0
1,0.0,2509.4439415659053,45.67187973649948,0.0,0.0,0.0,384.73193546155244,430.4038151980519,-2.2737367544323206e-13,1699.199999999997,1699.1999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3984.6511956349327,3586.1860760714394,6537.697984642032,0.0
2,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,430.4038151980519,552.2983560175472,0.0,1699.1999999999969,1699.1999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4157.113078009563,3741.4017702086066,10898.218168280167,2.842170943040401e-14
3,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,552.2983560175472,674.1928968370426,2.2737367544323206e-13,1699.1999999999969,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4274.86515733794,3847.378641604146,11015.970247608546,2.842170943040401e-14
4,0.0,0.0,0.0,0.0,0.0,0.0,674.1928968370426,674.1928968370426,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4342.478319904064,3908.2304879136577,4386.081167345258,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,674.1928968370426,674.1928968370426,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4365.363254185811,3928.8269287672297,4408.966101627005,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,674.1928968370426,674.1928968370426,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4359.409355169852,3923.4684196528665,4414.739436294262,0.0
7,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,674.1928968370426,568.7911357581029,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2498.012369755804,2248.2111327802236,973.1102430668402,0.0
8,1233.334410444901,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,568.7911357581029,463.3893746791632,4.547473508864641e-13,1699.199999999997,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2742.406879520039,2468.166191568035,33.60376922191699,0.0
9,3883.4744659463418,0.0,0.0,274.10013868271153,18.273342578847434,288.1706124684241,463.3893746791632,445.1160321003158,-4.547473508864641e-13,1699.1999999999975,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4002.893862795498,3602.604476515948,0.0,2.842170943040401e-14
10,6258.407669530325,1737.1360591224575,31.61587627602873,0.0,0.0,0.0,445.1160321003158,476.73190837634456,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4316.788420334878,3885.10957830139,0.0,2.842170943040401e-14
11,7501.934926342539,3062.7647202295702,55.74231790817818,0.0,0.0,0.0,476.73190837634456,532.4742262845227,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4184.687016039979,3766.2183144359815,0.0,-1.4210854715202004e-14
12,7919.841627402382,3574.1516910134364,65.04956077644455,0.0,0.0,0.0,532.4742262845227,597.5237870609673,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4041.206746315956,3637.0860716843604,0.0,-1.4210854715202004e-14
13,7624.249082750298,3351.8119949593465,61.00297830826011,0.0,0.0,0.0,597.5237870609673,658.5267653692274,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3917.953897717962,3526.1585079461656,0.0,2.842170943040401e-14
14,6574.385906917036,2336.9238212055207,42.53201354594048,0.0,0.0,0.0,658.5267653692274,701.0587789151679,0.0,1699.199999999997,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3832.9788956385255,3449.681006074673,0.0,-2.1316282072803006e-14
15,4637.745097127521,602.2539128427989,10.96102121373894,0.0,0.0,0.0,701.0587789151679,712.0198001289068,4.547473508864641e-13,1699.199999999997,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3581.0079942117327,3222.9071947905595,0.0,5.329070518200751e-15
16,1641.0482651374305,0.0,0.0,1194.1385048290308,79.60923365526872,1255.4376147435878,712.0198001289068,632.410566473638,2.2737367544323206e-13,1699.1999999999975,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2330.703579893472,2097.633221904125,4.547473508864641e-13,-5.684341886080802e-14
17,20.385692734626467,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,632.410566473638,527.0088053946984,0.0,1699.1999999999978,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1960.8773527392784,1764.7896174653506,914.040827717095,0.0
18,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,527.0088053946984,421.6070443157587,2.2737367544323206e-13,1699.1999999999978,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2028.6151227406601,1825.7536104665942,992.0137077470786,0.0
19,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,421.6070443157587,316.205283236819,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2080.631717792971,1872.5685460136738,1043.2081490500696,0.0
20,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,316.205283236819,210.80352215787934,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2133.9141167084517,1920.5227050376066,1096.4905479655504,0.0
21,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,210.80352215787934,105.40176107893967,-2.2737367544323206e-13,1699.199999999998,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1960.8134914287084,1764.7321422858377,923.389922685807,0.0
22,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,105.40176107893967,0.0,2.2737367544323206e-13,1699.1999999999978,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1998.165219144588,1798.3486972301293,960.7416504016869,0.0
23,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,0.0,121.89454081949529,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3884.090399392858,3495.6813594535724,11125.195489663463,0.0
24,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,121.89454081949529,243.78908163899058,2.2737367544323206e-13,1699.199999999998,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3922.9873891053585,3530.688650194823,11177.120639047589,0.0
25,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,243.78908163899058,365.68362245848584,0.0,1699.1999999999982,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3948.3333202334666,3553.49998821012,11202.466570175697,-2.842170943040401e-14
26,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,365.68362245848584,487.57816327798116,-2.2737367544323206e-13,1699.1999999999982,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3984.5752629790736,3586.117736681166,11238.708512921305,2.842170943040401e-14
27,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,487.57816327798116,609.4727040974765,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4021.2267228686806,3619.1040505818128,11275.359972810911,2.842170943040401e-14
